Entry Number,Name,Year,Genres,Movie Rating,Plot
1,Rebel Moon - Part One: A Child of Fire,"December 7, 2023","['Action', 'Drama', 'Science Fiction']",6.2/10,"When a peaceful colony on the edge of the galaxy finds itself threatened by the armies of the tyrannical Regent Balisarius, they dispatch Kora, a young woman with a mysterious past, to seek out warriors from neighboring planets to help them take a stand."
2,The Hunger Games: The Ballad of Songbirds & Snakes,"November 15, 2023","['Action', 'Drama', 'Science Fiction']",7.1/10,"64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12."
3,Saltburn,"August 31, 2023","['Comedy', 'Drama', 'Thriller']",7/10,"Struggling to find his place at Oxford University, student Oliver Quick finds himself drawn into the world of the charming and aristocratic Felix Catton, who invites him to Saltburn, his eccentric family's sprawling estate, for a summer never to be forgotten."
4,Oppenheimer,"July 13, 2023","['Drama', 'History']",8.4/10,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.
5,Barbie,"July 9, 2023","['Adventure', 'Comedy', 'Fantasy']",7/10,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans."
6,Killers of the Flower Moon,"October 7, 2023","['Crime', 'Drama', 'History', 'Western']",7.6/10,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery."
7,The Creator,"September 18, 2023","['Action', 'Adventure', 'Science Fiction']",7.1/10,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious ..."
8,Society of the Snow,"October 7, 2023","['Drama', 'History']",8.1/10,"On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes."
9,Wonka,"November 28, 2023","['Comedy', 'Family', 'Fantasy']",7.5/10,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible."
10,Dream Scenario,"September 24, 2023","['Comedy', 'Fantasy']",6.8/10,"Hapless family man Paul Matthews finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. But when his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom."
11,Spider-Man: Across the Spider-Verse,"May 30, 2023","['Action', 'Adventure', 'Animation', 'Romance', 'Science Fiction']",8.8/10,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes ..."
12,Aquaman and the Lost Kingdom,"December 20, 2023","['Action', 'Adventure', 'Fantasy']",7.2/10,"Black Manta, still driven by the need to avenge his father's death and wielding the power of the mythic Black Trident, will stop at nothing to take Aquaman down once and for all. To defeat him, Aquaman must turn to his imprisoned brother Orm, the former King of Atlantis, ..."
13,Avengers: Endgame,"April 22, 2019","['Action', 'Adventure', 'Science Fiction']",8.3/10,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once ..."
14,Thanksgiving,"November 14, 2023","['Horror', 'Mystery', 'Thriller']",6.1/10,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, ..."
15,Napoleon,"November 22, 2023","['Drama', 'History', 'War']",6.3/10,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine."
16,Avatar,"December 10, 2009","['Action', 'Adventure', 'Fantasy', 'Romance', 'Science Fiction']",7.7/10,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
17,Avengers: Infinity War,"April 23, 2018","['Action', 'Adventure', 'Science Fiction']",8.3/10,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts ..."
18,Home Alone,"November 10, 1990","['Comedy', 'Family']",7.6/10,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. ..."
